ID;Posição;Clube;Pontos;Jogos;Vitórias;Empates;Derrotas;GP;GC;SG;Ano
1;1;Corinthians;81;38;24;9;5;71;31;40;2015
2;20;Joinville;31;38;7;10;21;26;48;-22;2015
3;19;Goiás;38;38;10;8;20;39;49;-10;2015
4;18;Vasco da Gama;41;38;10;11;17;28;54;-26;2015
5;17;Avaí;42;38;11;9;18;38;60;-22;2015
6;16;Figueirense;43;38;11;10;17;36;50;-14;2015
7;14;Chapecoense;47;38;12;11;15;34;44;-10;2015
8;13;Fluminense;47;38;14;5;19;40;49;-9;2015
9;12;Flamengo;49;38;15;4;19;45;53;-8;2015
10;11;Ponte Preta;51;38;13;12;13;41;40;1;2015
11;15;Coritiba;44;38;11;11;16;31;42;-11;2015
12;9;Palmeiras;53;38;15;8;15;60;51;9;2015
13;8;Cruzeiro;55;38;15;10;13;44;35;9;2015
14;7;Santos;58;38;16;10;12;59;41;18;2015
15;6;Sport;59;38;15;14;9;53;38;15;2015
16;5;Internacional;60;38;17;9;12;39;38;1;2015
17;4;São Paulo;62;38;18;8;12;53;47;6;2015
18;3;Grêmio;68;38;20;8;10;52;32;20;2015
19;2;Atlético Mineiro;69;38;21;6;11;65;47;18;2015
20;10;Athletico Paranaense;51;38;14;9;15;43;48;-5;2015
21;13;Fluminense;50;38;13;11;14;45;45;0;2016
22;14;Sport;47;38;13;8;17;49;55;-6;2016
23;15;Coritiba;46;38;11;13;14;41;42;-1;2016
24;16;Vitória;45;38;12;9;17;51;53;-2;2016
25;20;América Mineiro;28;38;7;7;24;23;58;-35;2016
26;18;Figueirense;37;38;8;13;17;30;50;-20;2016
27;19;Santa Cruz;0;38;8;7;23;45;69;-24;2016
28;12;Cruzeiro;51;38;14;9;15;48;49;-1;2016
29;17;Internacional;43;38;11;10;17;35;41;-6;2016
30;11;Chapecoense;0;38;13;13;12;49;56;-7;2016
31;5;Botafogo;59;38;17;8;13;43;39;4;2016
32;9;Grêmio;53;38;14;11;13;41;44;-3;2016
33;8;Ponte Preta;53;38;15;8;15;48;52;-4;2016
34;7;Corinthians;55;38;15;10;13;48;42;6;2016
35;6;Athletico Paranaense;57;38;17;6;15;38;32;6;2016
36;4;Atlético Mineiro;0;38;17;11;10;61;53;8;2016
37;3;Flamengo;71;38;20;11;7;52;35;17;2016
38;2;Santos;71;38;22;5;11;59;35;24;2016
39;1;Palmeiras;80;38;24;8;6;62;32;30;2016
40;10;São Paulo;52;38;14;10;14;44;36;8;2016
41;13;São Paulo;50;38;13;11;14;48;49;-1;2017
42;14;Fluminense;47;38;11;14;13;50;53;-3;2017
43;15;Sport;45;38;12;9;17;46;58;-12;2017
44;16;Vitória;43;38;11;10;17;50;58;-8;2017
45;20;Atlético Goianiense;36;38;9;9;20;38;56;-18;2017
46;18;Avaí;43;38;10;13;15;29;48;-19;2017
47;19;Ponte Preta;39;38;10;9;19;37;52;-15;2017
48;12;Bahia;50;38;13;11;14;50;48;2;2017
49;17;Coritiba;43;38;11;10;17;42;51;-9;2017
50;11;Athletico Paranaense;51;38;14;9;15;45;43;2;2017
51;5;Cruzeiro;57;38;15;12;11;47;39;8;2017
52;9;Atlético Mineiro;54;38;14;12;12;52;49;3;2017
53;1;Corinthians;72;38;21;9;8;50;30;20;2017
54;2;Palmeiras;63;38;19;6;13;61;45;16;2017
55;3;Santos;63;38;17;12;9;42;32;10;2017
56;4;Grêmio;62;38;18;8;12;55;36;19;2017
57;10;Botafogo;53;38;14;11;13;45;42;3;2017
58;6;Flamengo;56;38;15;11;12;49;38;11;2017
59;7;Vasco da Gama;56;38;15;11;12;40;47;-7;2017
60;8;Chapecoense;54;38;15;9;14;47;49;-2;2017
61;11;Bahia;48;38;12;12;14;39;41;-2;2018
62;18;Sport;0;38;11;9;18;35;57;-22;2018
63;17;América Mineiro;40;38;10;10;18;30;47;-17;2018
64;16;Vasco da Gama;43;38;10;13;15;41;48;-7;2018
65;15;Ceará;44;38;10;14;14;32;38;-6;2018
66;14;Chapecoense;44;38;11;11;16;34;50;-16;2018
67;13;Corinthians;44;38;11;11;16;34;35;-1;2018
68;12;Fluminense;45;38;12;9;17;32;46;-14;2018
69;20;Paraná;23;38;4;11;23;18;57;-39;2018
70;19;Vitória;37;38;9;10;19;36;63;-27;2018
71;10;Santos;50;38;13;11;14;46;40;6;2018
72;8;Cruzeiro;53;38;14;11;13;34;34;0;2018
73;7;Athletico Paranaense;57;38;16;9;13;54;37;17;2018
74;6;Atlético Mineiro;59;38;17;8;13;56;43;13;2018
75;5;São Paulo;63;38;16;15;7;46;34;12;2018
76;4;Grêmio;66;38;18;12;8;48;27;21;2018
77;3;Internacional;69;38;19;12;7;51;29;22;2018
78;2;Flamengo;72;38;21;9;8;59;29;30;2018
79;1;Palmeiras;80;38;23;11;4;64;26;38;2018
80;9;Botafogo;51;38;13;12;13;38;46;-8;2018
81;13;Atlético Mineiro;48;38;13;9;16;45;49;-4;2019
82;14;Fluminense;46;38;12;10;16;38;46;-8;2019
83;15;Botafogo;43;38;13;4;21;31;45;-14;2019
84;12;Vasco da Gama;49;38;12;13;13;39;45;-6;2019
85;17;Cruzeiro;36;38;7;15;16;27;46;-19;2019
86;18;CSA;32;38;8;8;22;24;58;-34;2019
87;19;Chapecoense;32;38;7;11;20;31;52;-21;2019
88;16;Ceará;39;38;10;9;19;36;41;-5;2019
89;11;Bahia;49;38;12;13;13;44;43;1;2019
90;20;Avaí;20;38;3;11;24;18;62;-44;2019
91;9;Fortaleza;53;38;15;8;15;50;49;1;2019
92;1;Flamengo;90;38;28;6;4;86;37;49;2019
93;2;Santos;74;38;22;8;8;60;33;27;2019
94;3;Palmeiras;74;38;21;11;6;61;32;29;2019
95;4;Grêmio;65;38;19;8;11;64;39;25;2019
96;10;Goiás;52;38;15;7;16;46;64;-18;2019
97;6;São Paulo;63;38;17;12;9;39;30;9;2019
98;7;Internacional;57;38;16;9;13;44;39;5;2019
99;8;Corinthians;56;38;14;14;10;42;34;8;2019
100;5;Athletico Paranaense;64;38;18;10;10;51;32;19;2019
101;12;Corinthians;51;38;13;12;13;45;45;0;2020
102;19;Coritiba;31;38;7;10;21;31;54;-23;2020
103;18;Goiás;37;38;9;10;19;41;63;-22;2020
104;17;Vasco da Gama;41;38;10;11;17;37;56;-19;2020
105;16;Fortaleza;41;38;10;11;17;34;44;-10;2020
106;15;Sport;42;38;12;6;20;31;50;-19;2020
107;14;Bahia;44;38;12;8;18;48;59;-11;2020
108;13;Atlético Goianiense;50;38;12;14;12;40;45;-5;2020
109;11;Ceará;52;38;14;10;14;54;51;3;2020
110;20;Botafogo;27;38;5;12;21;32;62;-30;2020
111;9;Athletico Paranaense;53;38;15;8;15;38;36;2;2020
112;1;Flamengo;71;38;21;8;9;68;48;20;2020
113;2;Internacional;70;38;20;10;8;61;35;26;2020
114;3;Atlético Mineiro;68;38;20;8;10;64;45;19;2020
115;4;São Paulo;66;38;18;12;8;59;41;18;2020
116;10;Red Bull Bragantino;53;38;13;14;11;50;40;10;2020
117;6;Grêmio;59;38;14;17;7;53;40;13;2020
118;7;Palmeiras;58;38;15;13;10;51;37;14;2020
119;8;Santos;54;38;14;12;12;52;51;1;2020
120;5;Fluminense;64;38;18;10;10;55;42;13;2020
121;11;Ceará;50;38;11;17;10;39;38;1;2021
122;19;Sport;38;38;9;11;18;24;37;-13;2021
123;18;Bahia;43;38;11;10;17;42;51;-9;2021
124;17;Grêmio;43;38;12;7;19;44;51;-7;2021
125;16;Juventude;46;38;11;13;14;36;44;-8;2021
126;15;Cuiabá;47;38;10;17;11;34;37;-3;2021
127;14;Athletico Paranaense;47;38;13;8;17;41;45;-4;2021
128;13;São Paulo;48;38;11;15;12;31;39;-8;2021
129;12;Internacional;48;38;12;12;14;44;42;2;2021
130;20;Chapecoense;15;38;1;12;25;27;67;-40;2021
131;10;Santos;50;38;12;14;12;35;40;-5;2021
132;8;América Mineiro;53;38;13;14;11;41;37;4;2021
133;7;Fluminense;54;38;15;9;14;38;38;0;2021
134;6;Red Bull Bragantino;56;38;14;14;10;55;46;9;2021
135;5;Corinthians;57;38;15;12;11;40;36;4;2021
136;4;Fortaleza;58;38;17;7;14;44;45;-1;2021
137;3;Palmeiras;66;38;20;6;12;58;43;15;2021
138;2;Flamengo;71;38;21;8;9;69;36;33;2021
139;1;Atlético Mineiro;84;38;26;6;6;67;34;33;2021
140;9;Atlético Goianiense;53;38;13;14;11;33;36;-3;2021
141;13;Goiás;46;38;11;13;14;40;53;-13;2022
142;14;Red Bull Bragantino;44;38;11;11;16;49;59;-10;2022
143;15;Coritiba;42;38;12;6;20;39;60;-21;2022
144;20;Juventude;22;38;3;13;22;29;69;-40;2022
145;19;Avaí;35;38;9;8;21;34;60;-26;2022
146;17;Ceará;37;38;7;16;15;34;41;-7;2022
147;18;Atlético Goianiense;36;38;8;12;18;39;57;-18;2022
148;12;Santos;47;38;12;11;15;44;41;3;2022
149;16;Cuiabá;41;38;10;11;17;31;42;-11;2022
150;11;Botafogo;53;38;15;8;15;41;43;-2;2022
151;5;Flamengo;62;38;18;8;12;60;39;21;2022
152;9;São Paulo;54;38;13;15;10;55;42;13;2022
153;8;Fortaleza;55;38;15;10;13;46;39;7;2022
154;7;Atlético Mineiro;58;38;15;13;10;45;37;8;2022
155;6;Athletico Paranaense;58;38;16;10;12;48;48;0;2022
156;4;Corinthians;65;38;18;11;9;44;36;8;2022
157;3;Fluminense;70;38;21;7;10;63;41;22;2022
158;2;Internacional;73;38;20;13;5;58;31;27;2022
159;1;Palmeiras;81;38;23;12;3;66;27;39;2022
160;10;América Mineiro;53;38;15;8;15;40;40;0;2022
161;13;Corinthians;50;38;12;14;12;47;48;-1;2023
162;14;Cruzeiro;47;38;11;14;13;35;32;3;2023
163;15;Vasco da Gama;45;38;12;9;17;41;51;-10;2023
164;20;América Mineiro;24;38;5;9;24;42;81;-39;2023
165;18;Goiás;38;38;9;11;18;36;53;-17;2023
166;19;Coritiba;30;38;8;6;24;41;73;-32;2023
167;12;Cuiabá;51;38;14;9;15;40;39;1;2023
168;17;Santos;43;38;11;10;17;39;64;-25;2023
169;11;São Paulo;53;38;14;11;13;40;38;2;2023
170;16;Bahia;44;38;12;8;18;50;53;-3;2023
171;9;Internacional;55;38;15;10;13;46;45;1;2023
172;8;Athletico Paranaense;56;38;14;14;10;51;43;8;2023
173;7;Fluminense;56;38;16;8;14;51;47;4;2023
174;6;Red Bull Bragantino;62;38;17;11;10;49;35;14;2023
175;5;Botafogo;64;38;18;10;10;58;37;21;2023
176;4;Flamengo;66;38;19;9;10;56;42;14;2023
177;3;Atlético Mineiro;66;38;19;9;10;52;32;20;2023
178;2;Grêmio;68;38;21;5;12;63;56;7;2023
179;1;Palmeiras;70;38;20;10;8;64;33;31;2023
180;10;Fortaleza;54;38;15;9;14;45;44;1;2023
181;12;Atlético Mineiro;47;38;11;14;13;47;54;-7;2024
182;13;Fluminense;46;38;12;10;16;33;39;-6;2024
183;14;Grêmio;45;38;12;9;17;44;50;-6;2024
184;18;Criciúma;38;38;9;11;18;42;61;-19;2024
185;16;Red Bull Bragantino;44;38;10;14;14;44;48;-4;2024
186;17;Athletico Paranaense;42;38;11;9;18;40;46;-6;2024
187;11;Vitória;47;38;13;8;17;45;52;-7;2024
188;15;Juventude;45;38;11;12;15;47;59;-12;2024
189;10;Vasco da Gama;50;38;14;8;16;43;56;-13;2024
190;5;Internacional;65;38;18;11;9;53;36;17;2024
191;8;Bahia;53;38;15;8;15;49;49;0;2024
192;7;Corinthians;56;38;15;11;12;54;45;9;2024
193;6;São Paulo;59;38;17;8;13;53;43;10;2024
194;4;Fortaleza;68;38;19;11;8;53;39;14;2024
195;3;Flamengo;70;38;20;10;8;61;42;19;2024
196;2;Palmeiras;73;38;22;7;9;60;33;27;2024
197;1;Botafogo;79;38;23;10;5;59;29;30;2024
198;19;Atlético Goianiense;30;38;7;9;22;29;58;-29;2024
199;9;Cruzeiro;52;38;14;10;14;43;41;2;2024
200;20;Cuiabá;30;38;6;12;20;29;49;-20;2024
